product_name,state,total_medicaid_spending,total_prescriptions,total_units
BIKTARVY,NY,586955498.88,129131.0,4326529.0
BIKTARVY,CA,359922983.27,65741.0,2742041.0
BIKTARVY,PA,129031372.50999999,31161.0,966455.0
BIKTARVY,NC,114713423.96000001,27610.0,878750.0
BIKTARVY,IL,107443221.19999999,22244.0,755341.0
BIKTARVY,MI,77813668.89,16087.0,604887.0
BIKTARVY,LA,71885383.82,18044.0,549278.0
BIKTARVY,FL,71437504.92999999,16944.0,543435.0
BIKTARVY,AZ,65681992.12,16243.0,524703.0
BIKTARVY,NJ,62800230.379999995,14977.0,458163.0
BIKTARVY,MO,60978760.580000006,15323.0,457337.0
BIKTARVY,VA,57907914.93,12876.0,446913.0
BIKTARVY,OH,48986443.81,10443.0,367764.0
BIKTARVY,IN,41021730.769999996,9984.0,317658.0
BIKTARVY,CT,35602380.22,5800.0,264198.0
BIKTARVY,GA,32310145.04,8073.0,242528.0
BIKTARVY,WI,30522847.979999997,7596.0,227767.0
BIKTARVY,CO,29545104.43,5072.0,225481.0
BIKTARVY,NV,28597475.68,7026.0,227912.0
BIKTARVY,OR,25483709.53,5951.0,196366.0
BIKTARVY,KY,21459806.39,6925.0,159971.0
BIKTARVY,PR,21420542.7,5176.0,155400.0
BIKTARVY,OK,19973427.310000002,4927.0,147808.0
BIKTARVY,TN,18089775.0,4497.0,134858.0
BIKTARVY,SC,15012807.06,3850.0,116229.0
BIKTARVY,AL,13932717.580000002,3431.0,102881.0
BIKTARVY,MN,13164877.69,3251.0,95298.0
BIKTARVY,RI,13130902.549999999,3177.0,96945.0
BIKTARVY,DE,12161496.12,3046.0,91557.0
BIKTARVY,IA,10952911.01,2657.0,79729.0
BIKTARVY,MS,9830691.2,2177.0,73950.0
BIKTARVY,UT,7615669.3,1774.0,53030.0
BIKTARVY,AR,6971673.36,1707.0,51211.0
BIKTARVY,ME,6441303.33,1685.0,49966.0
BIKTARVY,NE,4369896.81,1126.0,34375.0
BIKTARVY,NH,3344226.73,819.0,26069.0
BIKTARVY,SD,2999856.42,762.0,22856.0
BIKTARVY,KS,2771603.7,736.0,21578.0
BIKTARVY,AK,2566472.98,665.0,19724.0
BIKTARVY,ID,2258101.29,567.0,16971.0
BIKTARVY,VT,1338289.74,191.0,9928.0
BIKTARVY,WY,167690.98,41.0,1230.0
