state,total_medicaid_spending,total_non_medicaid_spending,total_prescriptions,total_units
CA,13059602958.8,471971493.28000003,67100724.0,5076295174.801
NY,8974316222.26,417990140.27,53525409.0,3534578088.142
PA,3761146160.52,256545095.95,25220372.0,1568302068.027
OH,3463694494.24,57573292.5,27595701.0,1775648835.695
NC,3120969908.39,388158913.63,16372751.0,1205376524.476
MI,3013856449.7,102979411.38,21093115.0,1148374777.061
TX,2665199847.32,85416810.38,19479965.0,1496289125.385
IL,2416199303.72,69912868.49,17010200.0,1061391239.905
FL,2369697122.06,95054149.99,15878727.0,1033036378.581
IN,2154321967.28,67959414.39,13764081.0,875226852.677
KY,2085422493.78,27014033.57,20326271.0,1073413117.329
VA,1867128082.29,88388790.38,15741663.0,798109281.29
MA,1817815869.28,85624217.19,10761851.0,774503794.601
LA,1786278720.89,79750064.86,13333463.0,638322959.889
WI,1567908416.04,50626286.74,9306523.0,588408651.733
AZ,1501812631.48,49442507.8,10829691.0,654395002.506
NJ,1456542040.47,71257091.51,14929531.0,825458889.866
MO,1451074411.62,39112713.22,11759106.0,726147141.066
CT,1448320074.16,51297359.39,6833026.0,434051502.769
WA,1378958684.28,44621591.47,9896463.0,665204084.83
MD,1277783335.19,18280077.76,10973161.0,595365439.427
CO,1216835280.23,14570855.31,7243882.0,449072731.52
TN,1145295679.19,18228765.18,9156271.0,585819868.623
MN,1142356155.51,16712495.28,8823031.0,620723859.765
PR,1052259955.16,24172039.14,10364466.0,376018316.956
GA,933362004.73,53092596.39,10274949.0,564426931.702
AL,735937491.59,41737648.45,4780044.0,295386162.85
OR,732626999.22,36620813.839999996,8416492.0,505921608.549
OK,732433841.49,35936339.23,5967794.0,388470558.629
WV,645768104.66,19826417.45,5513831.0,322130996.695
NV,643267423.15,24419308.8,5177829.0,341101302.266
IA,634372254.29,125130000.37,5794135.0,391963029.001
SC,560878933.29,159072430.2,5463675.0,308047087.209
NM,508956968.81,3223922.85,4029581.0,271227847.849
ID,428496917.35,14218257.25,2873125.0,187984456.447
MS,425154660.04,11997540.38,3747684.0,245685695.591
ME,367476502.4,23636750.39,2077721.0,156890633.046
NE,355792450.08,19389404.75,2955303.0,217541426.653
AR,346797166.46,25532375.46,4051155.0,213146365.811
UT,346619765.31,43023479.99,2523791.0,277520403.684
KS,265729911.61,34110476.43,2437301.0,135678554.837
MT,260490349.07,9224581.64,2030828.0,103446582.654
RI,232253856.57,310992.69,2520846.0,140089099.178
SD,218024144.95,2718935.92,990431.0,54599611.786
DC,208933794.98,41781224.6,1400095.0,91979295.468
HI,205501554.38,0.0,1406810.0,98080671.105
NH,200099275.22,1929587.6,1539800.0,102879424.842
DE,195568224.35,9304090.52,1722019.0,95849742.012
AK,134298492.3,9090459.5,804570.0,51548939.555
VT,127336730.28,533270.52,1079742.0,71610711.116
ND,76601060.61,2023471.74,688559.0,45017357.311
WY,35548778.67,2338544.93,295467.0,16293541.267
