product_name,state,total_units,total_prescriptions
SODIUM CHL,CA,193303935.06599998,190206.0
SODIUM CHL,NY,161260657.894,164671.0
SODIUM CHL,NC,121224722.213,142261.0
SODIUM CHL,MO,92327496.393,139191.0
SODIUM CHL,TX,91870026.214,74087.0
SODIUM CHL,FL,80840146.825,85423.0
SODIUM CHL,KY,64201638.843,111621.0
SODIUM CHL,OH,62204802.01,60729.0
SODIUM CHL,MN,47360908.701,54115.0
SODIUM CHL,TN,43120142.288,46398.0
SODIUM CHL,ID,39035180.0,36864.0
SODIUM CHL,NV,34651089.6,34673.0
SODIUM CHL,VA,30279115.597,39256.0
SODIUM CHL,PA,25930266.913,26600.0
SODIUM CHL,IN,25350951.4,34873.0
SODIUM CHL,IA,22639207.5,10572.0
SODIUM CHL,NM,22581945.15,25757.0
SODIUM CHL,WA,22184799.975,11231.0
SODIUM CHL,MA,21551631.008,61257.0
SODIUM CHL,MS,16079396.74,15911.0
SODIUM CHL,LA,15081273.399999999,13058.0
SODIUM CHL,NH,14147688.674,18999.0
SODIUM CHL,CO,13670324.055,11104.0
SODIUM CHL,OR,12699024.0,6076.0
SODIUM CHL,AZ,12694514.7,11105.0
SODIUM CHL,NE,12054013.35,8228.0
SODIUM CHL,IL,11246836.168,8335.0
SODIUM CHL,UT,10279291.67,2908.0
SODIUM CHL,GA,10197905.53,12929.0
SODIUM CHL,WV,9903390.0,9587.0
SODIUM CHL,MD,9137350.9,14763.0
SODIUM CHL,OK,9089288.435,9291.0
SODIUM CHL,MT,9033075.379,12281.0
SODIUM CHL,NJ,8137768.85,8631.0
SODIUM CHL,WI,7342517.146000001,6222.0
SODIUM CHL,AL,6790704.54,5987.0
SODIUM CHL,ND,6635664.54,7855.0
SODIUM CHL,ME,6422929.5,5634.0
SODIUM CHL,SC,6118531.72,7060.0
SODIUM CHL,DE,5833862.6,5850.0
SODIUM CHL,MI,5158533.389,4670.0
SODIUM CHL,AK,5017330.04,5629.0
SODIUM CHL,CT,4956886.371,3184.0
SODIUM CHL,DC,4208904.0,4213.0
SODIUM CHL,AR,3621812.301,4080.0
SODIUM CHL,SD,2422660.0,5970.0
SODIUM CHL,KS,2321826.4,4139.0
SODIUM CHL,HI,2270464.59,3596.0
SODIUM CHL,RI,1648395.0,1801.0
SODIUM CHL,PR,1150974.8,3459.0
SODIUM CHL,VT,967860.5,1809.0
SODIUM CHL,WY,354676.959,255.0
