product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
BIKTARVY,16885070.0,499513.0,2248616532.18,41061895.81,2289678427.9900002,3,1
JARDIANCE,93139573.479,2208383.0,1853899028.79,31782440.3,1885681469.09,6,1
TRULICITY,3089250.076,1477123.0,1466256026.2,17550240.79,1483806266.99,8,1
INVEGA SUS,602888.286,479001.0,1343390517.17,15755807.48,1359146324.65,6,1
HUMIRA(CF),332732.017,135970.0,1238784100.29,11631701.47,1250415801.76,7,1
HUMIRA PEN,313961.39,130594.0,1136924998.78,16874046.8,1153799045.58,4,1
DUPIXENT S,1004775.6,256726.0,1002108786.2,17658548.57,1019767334.77,8,1
OZEMPIC,3141421.999,944750.0,994041539.16,18554699.09,1012596238.25,6,1
ZEPBOUND,1924897.0,959728.0,991996342.77,15115359.92,1007111702.69,11,1
ELIQUIS,96114798.165,1446918.0,922969901.95,19527223.07,942497125.02,6,1
DUPIXENT P,713124.619,189965.0,746647342.72,13340027.81,759987370.53,3,1
ABILIFY MA,244744.033,245005.0,630275226.71,5612779.6,635888006.3100001,6,1
OZEMPIC 0.,1994598.25,661538.0,626342034.34,13150578.89,639492613.23,3,1
WEGOVY,1118349.25,452358.0,589177956.7,6398680.25,595576636.95,5,1
VRAYLAR (C,12152498.0,402456.0,584783532.79,3798210.88,588581743.67,4,1
SKYRIZI 15,31759.078,27863.0,580919913.5,6466666.7,587386580.2,2,1
STELARA 90,20533.058,20353.0,552373722.97,17641369.79,570015092.76,1,1
SYMBICORT,24098952.566,2117993.0,517007241.64,3219197.94,520226439.58,4,1
COSENTYX U,139112.09100000001,51310.0,515674306.16,4887221.0,520561527.16,1,1
OZEMPIC 2M,1607301.0,516907.0,503948092.74,12207483.6,516155576.34,2,1
SUBLOCADE,323936.903,252888.0,501910595.03,2778524.09,504689119.12,6,1
COSENTYX S,118372.5,57424.0,494964223.41,6520761.72,501484985.13,5,1
TRIKAFTA,1514732.0,19195.0,487238406.09,28299963.419999998,515538369.51,4,1
NURTEC ODT,3752025.0,365898.0,457472392.55,4851958.6,462324351.15,1,1
VRAYLAR,9437307.114,306144.0,454649906.51,3877567.84,458527474.35,8,1
OZEMPIC 1M,1415584.5,457879.0,445317650.38,9716103.59,455033753.97,2,1
MOUNJARO,860887.143,416780.0,430035815.01,19674762.63,449710577.64,7,1
FLUTICASON,155682939.264,8773302.0,412729975.1,4883737.95,417613713.05,56,14
STELARA,24025.397,16261.0,412677126.43,8154408.75,420831535.18,4,1
TRELEGY EL,38556230.0,589430.0,409486088.1,10143001.18,419629089.28000003,4,1
